ORDER_LINE_STATUS	ORDER_NUMBER	PLANNING_DATE	REQUESTED_DELIVERY_DATE	DEPARTURE_DATE	CUSTOMER_NUMBER	COUNTRY	CUSTOMERS_ORDER_NO	ORDER_LINE_DELIVERY_METHOD	ORDER_TYPE_CODE	ITEM_NUMBER	NAME	PROCUREMENT_GROUP_CODE	EAN_NUMBER	ORDER_LINE_NUMBER	WAREHOUSE	ORDERED_QUANTITY	NET_PRICE	PRICE	DELIVERY_NO
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104931D172.095	Ghost 18	FTW	195394869866	82	408	10	47,3	473	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104931D172.100	Ghost 18	FTW	195394869880	83	408	9	47,3	425,7	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104931D172.105	Ghost 18	FTW	195394869903	84	408	8	47,3	378,4	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104931D172.110	Ghost 18	FTW	195394869927	85	408	7	47,3	331,1	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104931D172.115	Ghost 18	FTW	195394869941	86	408	6	47,3	283,8	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104931D172.120	Ghost 18	FTW	195394869965	87	408	6	47,3	283,8	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104931D172.125	Ghost 18	FTW	195394869989	88	408	4	47,3	189,2	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104931D172.130	Ghost 18	FTW	195394870008	89	408	2	47,3	94,6	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104931D281.085	Ghost 18	FTW	195394870695	90	408	1	47,3	47,3	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104931D281.090	Ghost 18	FTW	195394870701	91	408	1	47,3	47,3	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104931D281.095	Ghost 18	FTW	195394870718	92	408	2	47,3	94,6	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104931D281.100	Ghost 18	FTW	195394870725	93	408	2	47,3	94,6	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104931D281.105	Ghost 18	FTW	195394870732	94	408	2	47,3	94,6	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104931D281.110	Ghost 18	FTW	195394870749	95	408	2	47,3	94,6	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104931D281.115	Ghost 18	FTW	195394870756	96	408	1	47,3	47,3	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104931D281.120	Ghost 18	FTW	195394870763	97	408	1	47,3	47,3	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104931D281.125	Ghost 18	FTW	195394870770	98	408	1	47,3	47,3	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104931D429.075	Ghost 18	FTW	195394870978	99	408	2	47,3	94,6	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104931D429.080	Ghost 18	FTW	195394870985	100	408	2	47,3	94,6	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104931D429.085	Ghost 18	FTW	195394870992	101	408	2	47,3	94,6	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104931D429.090	Ghost 18	FTW	195394871005	102	408	3	47,3	141,9	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104931D429.095	Ghost 18	FTW	195394871012	103	408	4	47,3	189,2	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104931D429.100	Ghost 18	FTW	195394871029	104	408	3	47,3	141,9	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104931D429.105	Ghost 18	FTW	195394871036	105	408	3	47,3	141,9	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104931D429.110	Ghost 18	FTW	195394871043	106	408	3	47,3	141,9	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104931D429.115	Ghost 18	FTW	195394871050	107	408	3	47,3	141,9	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104931D429.120	Ghost 18	FTW	195394871067	108	408	3	47,3	141,9	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104931D429.125	Ghost 18	FTW	195394871074	109	408	2	47,3	94,6	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104931D429.130	Ghost 18	FTW	195394871081	110	408	2	47,3	94,6	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104931D429.140	Ghost 18	FTW	195394871098	111	408	1	47,3	47,3	34586334
